timestamp,source,input,mood,score
2025-07-08 19:06:25,text,I'm feeling really good and proud of myself,joy,0.99
2025-07-08 19:06:41,text,I’m so grateful for the people in my life,joy,0.84
2025-07-08 19:06:59,text,I’m so grateful for the people in my life,joy,0.84
2025-07-08 19:07:11,text,I’m so grateful for the people in my life,joy,0.84
2025-07-08 19:07:28,text,Spending time with family fills my heart.,joy,0.9
2025-07-08 19:07:41,text,I’m really frustrated with how I was treated today.,anger,0.9
2025-07-08 19:10:36,text,"I’m really frustrated with how I was treated today.""",anger,0.93
2025-07-08 19:13:48,text,I’m scared about my future and everything feels uncertain.,fear,0.99
2025-07-08 19:14:26,text,"Wow, I didn’t expect to win that competition!",surprise,0.98
2025-07-08 21:09:48,text,I had cereal for breakfast today,neutral,0.64
2025-07-08 21:10:38,text,"I feel so alone lately, like nobody cares.",sadness,0.98
2025-07-08 21:12:27,text,"My partner surprised me with flowers, I feel so loved.",surprise,0.93
